Control,Int-HFD
11.690000000,18.010000000
13.870000000,12.440000000
13.570000000,13.770000000
14.470000000,15.560000000
10.780000000,16.630000000
11.100000000,15.790000000
13.820000000,15.820000000
15.300000000,11.520000000
13.770000000,14.810000000
14.840000000,21.840000000
12.670000000,24.760000000
11.100000000,13.450000000
9.870000000,18.940000000
10.060000000,12.180000000
8.880000000,26.590000000
11.240000000,17.430000000
13.350000000,18.440000000
11.650000000,15.940000000
13.340000000,16.210000000
11.090000000,21.450000000
15.700000000,16.220000000
12.410000000,25.260000000
8.860000000,15.100000000
12.210000000,20.440000000
9.910000000,14.400000000
13.410000000,17.940000000
12.660000000,16.130000000
9.280000000,13.100000000
20.710000000,10.660000000
15.250000000,8.330000000
11.020000000,9.380000000
10.460000000,11.770000000
