Control,Restraint
11.140000000,15.100000000
10.360000000,12.200000000
13.200000000,11.140000000
12.440000000,8.140000000
12.010000000,9.350000000
17.510000000,13.490000000
13.440000000,7.460000000
12.860000000,13.670000000
14.720000000,10.780000000
12.430000000,16.220000000
15.810000000,11.680000000
13.250000000,20.660000000
13.690000000,9.930000000
9.480000000,11.230000000
15.690000000,15.390000000
15.350000000,18.680000000
12.270000000,14.680000000
16.490000000,15.330000000
10.610000000,8.750000000
13.220000000,6.820000000
13.010000000,15.570000000
15.200000000,
13.460000000,
