Control,Isolation
10.720000000,15.500000000
11.920000000,11.980000000
8.460000000,12.550000000
9.520000000,10.150000000
10.880000000,11.670000000
8.670000000,9.290000000
8.260000000,12.170000000
11.640000000,9.090000000
11.870000000,14.060000000
10.250000000,6.730000000
10.930000000,12.670000000
12.840000000,12.330000000
11.160000000,12.690000000
13.410000000,10.230000000
10.960000000,17.010000000
12.750000000,13.910000000
13.550000000,15.540000000
12.710000000,28.680000000
14.320000000,16.430000000
15.600000000,19.800000000
8.540000000,12.980000000
12.300000000,12.520000000
7.590000000,8.970000000
14.710000000,19.410000000
12.890000000,7.830000000
6.560000000,17.030000000
11.710000000,11.170000000
7.910000000,10.810000000
7.020000000,11.250000000
8.830000000,8.490000000
7.160000000,15.210000000
9.190000000,
