Control,Restraint
1531.153602863184,1961.626844682838
2153.6531125386,1978.089472888137
2348.851774637121,1276.903471980633
2322.96798092106,1726.0947108237
1206.134533415766,898.553128616352
3185.87456517505,2383.931430185064
2191.388501134116,2000.444235575096
2409.192752587225,1858.19085857727
2430.249937443752,1551.710573693254
1620.5106729383,2493.616725963608
3580.5785357007,1600.479179287604
2392.164457998363,3562.459689815384
2348.47702862482,1580.44869310237
2268.245638858255,1116.057194064184
3424.924070847,1904.611836377464
1981.53191742238,4021.937862563088
1233.303494867433,1689.672319442115
3935.68443309197,1911.82887946648
1830.451288003992,1546.030262935776
3519.309346756805,1422.7904917737
3169.628287143747,2835.551035258695
3205.09342576374,
2386.493264817656,
