figure,cohort,group,row_in_group,mouse_id,pair_id,sex,Mean IBI (s),Bout Number,Latency (s),Total feeding time (s)
S1A,HFD,Control,1,20181212_mouse1,,male,100.86219097148552,131,103.739960530937,1120.1252873563221
S1A,HFD,Control,2,20181212_mouse2,,male,107.3349773877697,119,85.108190667447,1543.1701149425355
S1A,HFD,Control,3,20181212_mouse3,,male,75.92326304567008,167,74.050227374875,1822.9873563218239
S1A,HFD,Control,4,20181212_mouse4,,male,238.2451935279707,57,134.008181776049,652.8137931034493
S1A,HFD,Control,5,20181212_mouse5,,male,98.75131475058178,133,393.474900091523,987.7160919540255
S1A,HFD,Control,6,20181212_mouse6,,male,47.837802449731136,260,130.124862383095,1789.5172413793096
S1A,HFD,Control,7,20181212_mouse7,,male,128.17886293227937,97,429.417766755692,1094.0931034482762
S1A,HFD,Control,8,20181212_mouse8,,male,40.76733235268702,260,82.840194804097,3706.9425287356485
S1A,HFD,Control,9,20181214_mouse1,,male,105.71037700498783,123,111.131431153914,1386.789655172416
S1A,HFD,Control,10,20181214_mouse2,,male,50.529929242170006,230,153.133285390716,2722.9885057471333
S1A,HFD,Control,11,20181214_mouse3,,male,66.2670445498802,191,158.849736954631,1798.254022988495
S1A,HFD,Control,12,20181214_mouse4,,male,82.68217600402224,167,153.38313441619,1511.4459770115038
S1A,HFD,Control,13,20181214_mouse5,,male,83.22393982257601,159,83.498164149124,993.4758620689712
S1A,HFD,Control,14,20181214_mouse6,,male,48.475845812484806,260,66.460014932762,1847.195402298867
S1A,HFD,Control,15,20181214_mouse7,,male,52.57929981374696,250,72.408859597259,1357.7586206896433
S1A,HFD,Control,16,20181214_mouse8,,male,90.71935397043917,145,123.887652125137,1239.6666666666745
S1A,HFD,Control,17,20220315_mouse1,,female,105.95737475946564,121,225.108772080007,1656.5873563218304
S1A,HFD,Control,18,20220315_mouse4,,female,72.27388941055246,172,75.699748957401,2121.7287356321885
S1A,HFD,Control,19,20220315_mouse5,,female,240.78498113959472,55,80.722873566613,870.8333333333317
S1A,HFD,Control,20,20220315_mouse8,,female,45.86868208438844,260,103.92878311513,2571.609195402303
S1A,HFD,Control,21,20220316_mouse2,,female,94.9469818952226,130,76.122739764705,2056.988505747123
S1A,HFD,Control,22,20220316_mouse3,,female,51.84328848624323,204,95.696395066497,3549.1310344827634
S1A,HFD,Control,23,20220316_mouse6,,female,116.15625021395866,111,114.922109489351,1453.9724137931196
S1A,HFD,Control,24,20220316_mouse7,,female,92.39218697821299,153,70.35015136948,2169.6103448275767
S1A,HFD,Control,25,20220317_mouse1,,female,43.84652149297251,242,84.164234470661,3762.126436781607
S1A,HFD,Control,26,20220317_mouse4,,female,42.78552077031883,241,705.671508293688,3470.1229885057483
S1A,HFD,Control,27,20220317_mouse5,,female,65.45285746132488,186,69.09416123498,2158.6689655172463
S1A,HFD,Control,28,20220317_mouse8,,female,79.05997819945196,169,115.301800231245,1004.4816091954011
S1A,HFD,Control,29,20220318_mouse2,,female,118.09628233303756,100,228.546153504422,2404.482758620695
S1A,HFD,Control,30,20220318_mouse3,,female,213.82140160877145,61,686.723496297318,927.760919540232
S1A,HFD,Control,31,20220318_mouse6,,female,90.11480150916353,138,93.221833125209,1969.4344827586297
S1A,HFD,Control,32,20220318_mouse7,,female,111.07021649761631,107,1015.188526852253,1610.9034482758616
S1A,HFD,Int-HFD,1,20181211_mouse2,,male,167.96750462892848,80,102.13265392709,558.8965517241355
S1A,HFD,Int-HFD,2,20181211_mouse3,,male,81.38173223216026,166,84.541110561314,1160.091954022984
S1A,HFD,Int-HFD,3,20181211_mouse4,,male,57.17973776739888,209,301.134550259597,2685.7701149425257
S1A,HFD,Int-HFD,4,20181211_mouse5,,male,106.00462671414093,121,79.167525088829,1519.0367816091994
S1A,HFD,Int-HFD,5,20181211_mouse6,,male,70.53570555487627,174,165.912664067237,2384.999999999997
S1A,HFD,Int-HFD,6,20181211_mouse7,,male,266.4678414704729,52,510.208177846783,510.6160919540199
S1A,HFD,Int-HFD,7,20181211_mouse8,,male,128.504361362616,104,133.955377434969,630.3356321839032
S1A,HFD,Int-HFD,8,20181213_mouse1,,male,68.42588049898414,128,3991.898466007837,1635.0160919540222
S1A,HFD,Int-HFD,9,20181213_mouse2,,male,142.85269207569954,90,79.540141775101,1514.5862068965582
S1A,HFD,Int-HFD,10,20181213_mouse3,,male,131.9822521888863,93,101.358566466674,2098.1655172413775
S1A,HFD,Int-HFD,11,20181213_mouse4,,male,114.72493694040777,114,276.364300020646,1091.5172413793118
S1A,HFD,Int-HFD,12,20181213_mouse5,,male,41.93722080823861,248,67.24915778143,3796.680459770128
S1A,HFD,Int-HFD,13,20181213_mouse6,,male,60.73369085706709,213,199.455695247347,1232.4620689655112
S1A,HFD,Int-HFD,14,20181213_mouse7,,male,119.30472969689771,98,99.659287030372,2524.3448275862106
S1A,HFD,Int-HFD,15,20181213_mouse8,,male,48.48111797334346,237,107.759497090641,2837.734482758612
S1A,HFD,Int-HFD,16,20220315_mouse2,,female,41.262701315051174,225,103.725438735414,5198.53448275863
S1A,HFD,Int-HFD,17,20220315_mouse3,,female,69.25671357300904,170,82.751022938778,2739.3448275861974
S1A,HFD,Int-HFD,18,20220315_mouse6,,female,80.63131331720503,139,83.788674733591,2722.9620689655126
S1A,HFD,Int-HFD,19,20220315_mouse7,,female,67.03508236286305,150,561.014839345906,3979.6551724138067
S1A,HFD,Int-HFD,20,20220316_mouse1,,female,159.19834338818944,80,200.808789616518,1650.5747126436763
S1A,HFD,Int-HFD,21,20220316_mouse4,,female,61.870593683251414,161,95.791468559967,4446.0057471264445
S1A,HFD,Int-HFD,22,20220316_mouse5,,female,163.16548431396305,79,100.013672789305,992.4942528735664
S1A,HFD,Int-HFD,23,20220316_mouse8,,female,145.42386094414022,83,425.808963252801,1985.035632183909
S1A,HFD,Int-HFD,24,20220317_mouse2,,female,145.63247013020862,91,153.953707512361,1072.335632183912
S1A,HFD,Int-HFD,25,20220317_mouse3,,female,65.20570970791537,171,78.732391115007,3210.279310344807
S1A,HFD,Int-HFD,26,20220317_mouse6,,female,144.0669765405414,82,114.430214378822,1295.8827586206899
S1A,HFD,Int-HFD,27,20220317_mouse7,,female,50.10834192437486,197,80.539852641285,4527.603448275868
S1A,HFD,Int-HFD,28,20220318_mouse1,,female,79.11098080255701,155,185.035168425977,2164.477011494251
S1A,HFD,Int-HFD,29,20220318_mouse4,,female,37.80160845909172,250,169.077040876675,4031.896551724129
S1A,HFD,Int-HFD,30,20220318_mouse5,,female,74.46572775554357,163,90.079652839522,2194.6919540229846
S1A,HFD,Int-HFD,31,20220318_mouse8,,female,249.20266339234337,56,113.919008340439,355.0528735632198
S1B,Isolation,Control,1,20180627_mouse2,,male,103.5697695782953,129,204.130418112922,962.0137931034565
S1B,Isolation,Control,2,20180627_mouse3,,male,70.67943098587469,101,137.030228903179,1072.8057471264385
S1B,Isolation,Control,3,20180627_mouse6,,male,99.48894943823838,137,71.999459767942,770.3494252873467
S1B,Isolation,Control,4,20180627_mouse7,,male,100.83884845130287,134,84.96492365675,863.7609195402265
S1B,Isolation,Control,5,20180628_mouse1,,male,158.50458424438997,86,205.029426125324,645.4942528735613
S1B,Isolation,Control,6,20180628_mouse4,,male,99.35103117588476,138,75.692814065456,713.6344827586184
S1B,Isolation,Control,7,20180628_mouse5,,male,143.16342118682223,96,71.607290305376,517.406896551727
S1B,Isolation,Control,8,20180628_mouse8,,male,140.9784407907985,92,374.55353181701,888.0643678160897
S1B,Isolation,Control,9,20180719_mouse1,,male,110.56605444128726,122,130.454319178948,1200.367816091956
S1B,Isolation,Control,10,20180719_mouse4,,male,134.92000615061914,102,82.405983812886,746.3586206896542
S1B,Isolation,Control,11,20180719_mouse5,,male,122.8278251703976,109,174.710636955232,988.7678160919523
S1B,Isolation,Control,12,20180719_mouse8,,male,107.06541092706046,123,181.516527737104,1217.417241379317
S1B,Isolation,Control,13,20180720_mouse2,,male,103.67983651570505,128,101.000736646952,1092.2666666666635
S1B,Isolation,Control,14,20180720_mouse3,,male,110.15972322011145,119,78.972617835297,1440.3103448275936
S1B,Isolation,Control,15,20180720_mouse6,,male,379.9386765964962,25,5090.45953663518,209.6551724137948
S1B,Isolation,Control,16,20180720_mouse7,,male,106.79115415259129,124,100.72187389778,1243.705747126441
S1B,Isolation,Control,17,20220308_mouse1,,female,56.18629819248504,218,121.568987397258,2066.4896551723914
S1B,Isolation,Control,18,20220308_mouse4,,female,671.2305461533591,19,801.785323266348,253.136781609196
S1B,Isolation,Control,19,20220308_mouse5,,female,80.19273831089454,148,180.340754847694,2377.016091954029
S1B,Isolation,Control,20,20220308_mouse8,,female,45.97397688901507,225,66.790935326592,4075.3448275861897
S1B,Isolation,Control,21,20220309_mouse2,,female,62.05635929653287,208,93.430244738503,1267.3655172413694
S1B,Isolation,Control,22,20220309_mouse3,,female,121.33227627785314,103,90.990662562044,1827.3620689655113
S1B,Isolation,Control,23,20220309_mouse6,,female,64.4048816762064,187,200.351097642952,2169.6298850574703
S1B,Isolation,Control,24,20220309_mouse7,,female,148.94602405226274,81,606.109347559254,1549.8931034482735
S1B,Isolation,Control,25,20220310_mouse1,,female,105.04262244192509,115,110.43799465554,2129.4827586206907
S1B,Isolation,Control,26,20220310_mouse4,,female,85.82520539771727,149,174.017483873955,1445.2999999999968
S1B,Isolation,Control,27,20220310_mouse5,,female,115.25469953380147,113,91.293154307328,1182.9931034482745
S1B,Isolation,Control,28,20220310_mouse7,,female,135.92036015606635,95,246.547643451785,1143.1666666666722
S1B,Isolation,Control,29,20220311_mouse2,,female,128.93363081613464,102,286.685015347012,1135.0137931034492
S1B,Isolation,Control,30,20220311_mouse3,,female,255.41934215101358,53,94.351792003269,484.79770114942266
S1B,Isolation,Control,31,20220311_mouse6,,female,47.14921539181113,249,415.4586919795,2316.5586206896837
S1B,Isolation,Control,32,20220311_mouse7,,female,237.63028754571297,57,126.123423443428,573.6034482758566
S1B,Isolation,Isolation,1,20180627_mouse1,,male,128.4492054222012,93,1196.533800969901,1405.4758620689697
S1B,Isolation,Isolation,2,20180627_mouse4,,male,164.35355191094277,83,63.288386556942,840.8758620689692
S1B,Isolation,Isolation,3,20180627_mouse5,,male,107.01854454077858,121,83.833287274811,1402.209195402293
S1B,Isolation,Isolation,4,20180627_mouse8,,male,103.33824000310537,129,126.799138528696,1006.0517241379328
S1B,Isolation,Isolation,5,20180628_mouse2,,male,109.94677911837883,117,364.677145357863,1251.4965517241371
S1B,Isolation,Isolation,6,20180628_mouse3,,male,150.51246431780268,88,396.157185484533,498.97011494253184
S1B,Isolation,Isolation,7,20180628_mouse6,,male,122.22139307399001,104,382.442707117561,1178.905747126433
S1B,Isolation,Isolation,8,20180628_mouse7,,male,105.32557648689473,125,462.021002663032,857.1839080459774
S1B,Isolation,Isolation,9,20180719_mouse2,,male,108.34785142047977,122,71.467778936258,1365.9793103448287
S1B,Isolation,Isolation,10,20180719_mouse3,,male,150.3817604721912,95,154.247894234914,391.68390804598687
S1B,Isolation,Isolation,11,20180719_mouse6,,male,130.2550565404793,102,107.365533443266,1181.3241379310386
S1B,Isolation,Isolation,12,20180719_mouse7,,male,111.04679702903911,120,233.401648532705,1073.7931034482676
S1B,Isolation,Isolation,13,20180720_mouse1,,male,107.83132460188487,122,76.189975164622,1345.0850574712683
S1B,Isolation,Isolation,14,20180720_mouse4,,male,106.46533803411614,125,89.669467447968,1198.4195402298824
S1B,Isolation,Isolation,15,20180720_mouse5,,male,117.35605688835605,106,202.202758786348,1843.1816091953983
S1B,Isolation,Isolation,16,20180720_mouse8,,male,109.53932402041225,119,63.634848109262,1474.7793103448246
S1B,Isolation,Isolation,17,20220308_mouse2,,female,70.80476509461366,179,105.765417861886,1548.2471264367837
S1B,Isolation,Isolation,18,20220308_mouse3,,female,70.92427131000555,142,90.623668092465,4061.199999999982
S1B,Isolation,Isolation,19,20220308_mouse6,,female,41.1063270667834,240,81.134742365815,4463.448275862059
S1B,Isolation,Isolation,20,20220308_mouse7,,female,95.69719388591868,111,551.984102252656,3233.8000000000006
S1B,Isolation,Isolation,21,20220309_mouse1,,female,85.16081420829458,150,107.690444034234,1494.3103448275813
S1B,Isolation,Isolation,22,20220309_mouse4,,female,98.22102553609777,116,87.35533160278,3022.9333333333393
S1B,Isolation,Isolation,23,20220309_mouse5,,female,102.25085821550597,97,107.190516997808,1065.4390804597738
S1B,Isolation,Isolation,24,20220309_mouse8,,female,40.08400752079955,228,76.242692909321,5228.01379310345
S1B,Isolation,Isolation,25,20220310_mouse2,,female,113.99645328786708,114,121.196328724905,1035.0413793103412
S1B,Isolation,Isolation,26,20220310_mouse3,,female,92.81586262899586,124,218.64887554523,2714.1747126436803
S1B,Isolation,Isolation,27,20220310_mouse6,,female,42.683889057160684,240,71.471833182963,4097.379310344827
S1B,Isolation,Isolation,28,20220311_mouse1,,female,88.91956503937722,143,184.651016415842,1618.6942528735538
S1B,Isolation,Isolation,29,20220311_mouse4,,female,40.12233303452454,235,88.017820531544,3348.614942528753
S1B,Isolation,Isolation,30,20220311_mouse5,,female,198.88500120967944,63,732.131879731426,772.4379310344816
S1B,Isolation,Isolation,31,20220311_mouse8,,female,106.90544159456562,114,186.491629969467,1900.5241379310278
S1C,Restraint,Control,1,20200121_mouse4,,male,103.84509160820404,124,135.569295295281,1531.153602863184
S1C,Restraint,Control,2,20200121_mouse5,,male,60.411888074501434,200,143.725882172585,2153.6531125386
S1C,Restraint,Control,3,20200121_mouse6,,male,61.792783528149776,193,90.152765893145,2348.851774637121
S1C,Restraint,Control,4,20200121_mouse7,,male,70.54708342340929,165,99.824652858078,2322.96798092106
S1C,Restraint,Control,5,20200122_mouse1,,male,145.5851607274043,87,215.971549698152,1206.134533415766
S1C,Restraint,Control,6,20200122_mouse2,,male,64.11657206857929,175,74.696946532931,3185.87456517505
S1C,Restraint,Control,7,20200122_mouse3,,male,68.14790547094678,177,177.259086546255,2191.388501134116
S1C,Restraint,Control,8,20200122_mouse4,,male,64.15049267959866,187,45.186677240999,2409.192752587225
S1C,Restraint,Control,9,20200123_mouse1,,male,55.94548888627521,152,258.407184983371,2430.249937443752
S1C,Restraint,Control,10,20200123_mouse2,,male,88.47894225113423,143,139.221039944096,1620.5106729383
S1C,Restraint,Control,11,20200123_mouse3,,male,53.17289634809643,202,162.705080035375,3580.5785357007
S1C,Restraint,Control,12,20220419_mouse1,,female,66.82222430544977,177,102.907289718278,2392.164457998363
S1C,Restraint,Control,13,20220419_mouse4,,female,68.3810929778942,172,257.410794226453,2348.47702862482
S1C,Restraint,Control,14,20220419_mouse5,,female,59.262821560708666,199,109.826110400027,2268.245638858255
